label,ADJ,ADP,ADV,AUX,CONJ,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,SPACE,length
0,70,70,52,67,0,24,108,3,148,7,35,63,49,122,30,0,106,0,47,913
0,67,57,48,35,0,24,72,0,121,2,25,41,37,119,25,1,94,0,29,711
0,77,68,49,41,0,20,86,1,152,3,22,32,27,95,9,1,86,0,31,744
0,47,64,28,18,0,19,74,1,143,9,13,31,10,106,14,0,75,1,28,644
0,83,85,57,37,0,24,87,1,157,4,30,34,96,119,21,2,85,1,30,855
0,44,48,40,36,0,15,64,0,90,3,19,44,32,65,14,0,68,0,29,567
0,70,70,74,39,0,28,100,6,136,4,27,37,28,139,20,2,85,2,45,843
0,51,47,30,27,0,15,59,0,115,2,26,22,37,104,11,0,58,0,20,552
0,73,80,36,55,0,23,108,2,151,8,27,39,66,95,12,0,91,0,44,840
0,32,37,18,23,0,17,51,1,80,8,10,19,35,54,6,0,40,0,21,411
0,48,65,29,37,0,26,65,1,118,8,23,38,62,113,5,0,65,0,30,681
0,36,35,25,29,0,22,57,1,95,2,21,38,11,80,18,0,68,3,18,501
0,65,55,53,31,0,29,92,0,129,7,21,32,27,88,16,0,87,0,33,699
0,37,29,24,19,0,19,45,0,81,7,14,20,14,55,7,0,50,0,24,402
0,56,59,57,47,0,27,104,4,130,14,26,55,33,145,17,0,85,0,27,811
0,57,44,35,45,0,19,77,0,122,9,27,16,55,71,14,0,63,0,32,628
0,75,87,75,73,0,23,141,0,185,4,31,61,35,90,41,0,92,0,55,983
0,83,122,99,75,0,39,147,2,189,22,39,78,80,205,45,2,130,0,40,1294
0,28,53,43,46,0,17,62,1,80,3,13,37,50,67,9,0,68,0,33,572
0,39,53,15,21,0,14,71,0,94,9,13,17,24,56,7,0,40,0,19,464
0,55,101,68,62,0,39,124,3,193,24,34,73,48,146,18,2,132,0,55,1080
0,30,45,21,20,0,15,45,1,95,3,22,18,39,61,7,0,58,0,15,453
0,64,75,37,59,0,15,107,1,162,11,18,44,41,112,22,0,83,0,43,818
0,85,103,61,79,0,27,137,0,223,10,30,52,28,133,19,0,98,0,65,1024
0,79,72,74,60,0,33,113,1,179,8,23,60,51,137,18,0,93,0,52,951
0,76,91,34,39,0,25,80,0,153,10,25,30,69,100,15,0,76,0,29,814
0,35,42,19,21,0,21,55,0,107,6,19,11,59,105,8,0,55,0,23,517
0,45,46,37,18,0,10,63,2,139,7,13,20,19,97,14,0,65,2,26,577
0,98,86,57,71,0,37,126,3,197,6,28,79,53,162,29,1,98,0,53,1075
0,24,23,19,13,0,8,33,2,57,4,4,11,13,38,5,0,30,0,13,277
0,43,64,48,31,0,17,83,0,129,9,21,26,45,104,15,0,81,2,29,701
0,87,114,65,54,0,32,145,4,226,16,47,93,29,146,36,0,153,1,49,1224
0,46,42,20,25,0,17,59,0,83,4,8,15,46,71,5,1,32,0,18,431
0,43,59,26,27,0,13,82,0,137,0,15,25,33,109,10,0,61,0,31,614
0,51,77,32,45,0,29,118,3,177,12,26,45,30,97,23,0,111,0,34,836
0,32,52,20,16,0,13,49,0,90,3,17,15,60,70,7,0,46,0,16,472
0,43,41,28,30,0,15,63,0,106,4,15,27,12,92,8,0,52,1,28,514
0,71,69,49,50,0,23,95,0,144,9,20,43,30,85,16,2,60,1,32,730
0,39,39,31,26,0,20,56,0,85,4,18,21,31,79,9,1,51,0,21,487
0,52,72,24,40,0,20,97,1,149,12,21,37,53,128,22,1,78,1,42,792
0,53,47,33,38,0,18,82,1,111,2,16,31,42,96,15,0,73,0,45,627
0,36,29,16,12,0,16,35,0,64,8,6,9,25,58,7,0,29,0,12,335
0,55,60,27,30,0,15,78,0,133,5,21,17,84,121,9,0,61,0,26,687
0,24,42,17,19,0,18,48,2,89,4,14,23,34,76,12,1,60,0,17,452
0,57,51,58,51,0,33,84,0,119,11,15,41,47,126,13,3,70,0,39,760
0,20,18,11,11,0,7,26,0,46,4,4,6,15,36,3,0,22,0,7,219
0,51,49,37,33,0,16,58,0,105,6,27,28,51,94,15,3,70,0,28,587
0,32,33,19,20,0,12,47,3,87,1,11,15,14,74,11,0,50,0,28,405
0,39,60,33,28,0,16,85,0,133,9,17,24,53,98,7,11,57,55,37,626
0,63,88,43,32,0,28,100,1,194,8,26,37,59,152,25,0,113,0,41,921
0,60,77,48,46,0,31,106,1,156,2,31,53,54,116,26,0,110,0,35,875
0,57,65,63,49,0,34,92,2,157,12,21,55,42,156,22,1,98,0,36,874
0,60,69,38,51,0,28,109,2,114,4,21,50,44,122,22,0,74,0,31,780
0,66,39,43,40,0,32,69,0,100,4,13,33,58,95,27,0,56,3,33,660
0,37,48,31,33,0,8,62,2,107,4,14,27,48,60,15,0,49,0,22,496
0,42,42,36,39,0,20,65,2,86,9,28,62,25,81,21,0,75,0,24,610
0,24,26,13,19,0,7,37,0,61,5,12,28,42,71,11,2,44,0,17,371
0,57,44,35,31,0,20,58,0,80,3,14,30,37,69,11,0,62,0,26,529
0,59,53,54,38,0,28,71,2,111,6,17,40,39,123,11,0,69,1,42,690
0,78,85,37,58,0,24,114,2,159,10,31,44,77,105,13,0,100,0,48,907
0,84,78,42,35,0,26,81,1,165,3,38,25,50,97,13,0,90,0,33,794
0,52,68,43,44,0,19,82,1,142,4,33,40,70,116,20,0,77,0,31,756
0,82,96,74,79,0,38,147,5,177,5,27,91,37,125,36,1,133,0,55,1127
0,44,55,32,25,0,15,72,0,117,1,20,21,90,131,13,0,62,0,20,679
0,62,52,36,19,0,17,63,0,115,1,21,17,35,69,13,0,61,0,17,535
0,35,57,38,32,0,16,73,1,105,5,21,43,40,108,17,0,86,0,37,650
0,97,109,85,99,0,39,156,2,230,5,50,94,53,191,27,0,158,0,79,1338
0,36,58,16,37,0,9,81,1,128,3,27,21,57,107,12,0,62,0,35,630
0,78,89,46,33,0,22,93,0,151,4,33,21,68,128,15,0,75,1,37,822
0,67,59,35,36,0,21,91,0,136,8,28,34,47,130,12,1,87,0,42,757
0,37,38,33,11,0,12,45,0,79,3,15,25,21,67,8,0,48,0,20,422
0,72,82,58,55,0,18,102,0,163,7,18,55,36,122,24,0,75,0,39,839
0,32,41,21,15,0,10,41,0,87,2,7,6,24,50,6,0,42,0,14,371
0,78,80,41,42,0,31,107,0,182,5,39,25,75,147,25,1,109,0,42,951
0,49,56,43,40,0,24,79,4,132,9,26,37,59,143,14,0,70,1,42,747
0,26,23,5,11,0,11,31,0,44,0,3,8,13,27,2,0,24,0,7,212
0,56,92,68,38,0,37,100,0,159,8,30,58,51,113,18,2,98,2,40,908
0,105,65,55,60,0,32,114,1,170,9,29,45,50,130,21,0,91,0,48,940
0,41,63,32,26,0,18,69,2,113,9,12,27,65,98,10,0,57,1,25,591
0,42,59,42,35,0,14,66,1,92,4,12,36,30,62,15,0,57,0,35,553
0,34,51,31,22,0,10,67,0,109,4,16,9,28,71,7,0,44,0,17,477
0,76,105,68,72,0,45,146,1,229,17,32,66,46,88,15,1,121,0,54,1114
0,48,88,72,57,0,22,121,2,155,4,38,63,21,95,24,0,110,0,43,895
0,47,41,44,35,0,14,86,1,105,4,24,35,34,92,9,0,75,0,29,621
0,57,57,41,45,0,24,59,2,100,6,17,36,17,76,18,0,50,1,27,579
0,19,26,12,22,0,8,33,0,73,6,6,7,13,56,3,0,36,1,25,311
0,54,63,58,44,0,20,91,1,110,3,28,30,9,51,16,0,91,0,25,659
0,60,58,52,41,0,25,100,1,151,5,20,26,65,118,19,1,61,0,43,781
0,52,58,43,31,0,12,59,2,104,6,16,30,24,73,9,0,57,0,25,562
0,53,61,48,55,0,21,86,2,102,5,30,46,22,60,15,0,63,0,30,654
0,26,31,12,17,0,12,65,0,79,2,12,15,17,51,9,0,46,0,22,382
0,35,47,31,34,0,12,70,1,107,10,17,46,19,88,18,0,66,1,31,579
0,23,28,19,22,0,14,35,0,63,4,19,19,26,62,5,0,40,0,21,338
0,32,65,30,38,0,17,92,3,127,6,26,52,45,72,14,0,80,0,25,682
0,142,157,123,113,0,73,227,7,284,19,50,109,42,242,67,1,186,6,43,1798
0,47,50,31,39,0,13,66,5,96,0,18,44,39,106,18,0,66,0,35,595
0,65,65,46,53,0,22,96,2,140,8,22,53,23,117,24,0,86,0,51,799
0,63,55,43,36,0,24,82,2,116,9,20,55,6,75,16,0,87,0,32,668
0,80,90,59,64,0,25,142,2,180,13,33,42,54,153,30,0,95,0,36,1006
0,35,27,17,21,0,15,43,0,56,0,13,13,19,52,8,0,40,0,13,347
0,47,61,64,39,0,22,93,3,128,1,31,34,51,109,13,0,88,1,40,757
0,69,68,57,45,0,28,80,2,135,5,19,63,21,111,22,0,95,3,40,815
0,47,42,35,37,0,14,73,0,103,10,18,28,14,69,22,0,56,0,23,547
0,78,68,34,46,0,16,94,0,158,12,14,36,32,91,14,1,72,0,58,747
0,40,77,43,46,0,21,91,2,126,27,26,48,38,115,17,0,87,1,43,781
0,85,126,98,69,0,35,148,4,229,12,43,69,78,155,21,0,149,0,51,1269
0,43,37,42,31,0,16,51,0,55,8,18,23,25,56,6,0,50,0,18,437
0,35,36,19,16,0,12,48,0,93,3,8,10,41,57,9,0,34,0,23,405
0,70,75,68,72,0,27,122,5,165,7,40,51,16,124,26,0,113,1,52,955
0,54,45,34,18,0,19,66,0,113,3,19,18,38,82,11,0,54,0,21,547
0,51,70,64,59,0,46,96,3,151,8,39,74,36,82,17,4,105,0,32,840
0,60,80,38,48,0,18,119,0,198,16,29,31,66,165,20,0,98,0,39,956
0,12,30,20,20,0,5,25,2,53,16,1,22,12,37,6,0,26,0,14,280
0,34,45,42,31,0,30,59,0,99,2,23,33,35,89,12,0,54,0,24,556
0,51,64,40,30,0,16,85,0,123,6,10,35,22,73,19,0,79,0,29,634
0,56,73,30,27,0,21,91,1,152,7,15,26,66,174,8,1,72,0,48,813
0,26,25,31,21,0,10,37,1,52,3,11,24,5,46,8,0,37,0,18,329
0,41,43,35,35,0,21,69,1,99,4,18,26,31,71,13,0,54,2,27,543
0,73,85,51,53,0,43,115,0,190,5,33,52,90,122,24,0,121,1,43,1014
0,53,71,40,35,0,17,98,5,194,10,31,36,56,155,9,0,85,3,46,851
0,81,72,67,40,0,31,124,6,184,8,26,50,48,161,24,1,107,0,50,971
0,33,38,24,28,0,14,51,0,81,6,13,25,18,53,7,2,38,0,16,415
0,60,55,32,28,0,17,82,1,104,10,16,17,49,76,20,2,52,0,17,588
0,39,40,30,36,0,17,45,2,93,5,17,31,26,70,10,0,55,1,22,475
0,82,83,87,59,0,36,111,10,164,9,33,81,79,202,32,5,145,3,65,1151
0,52,62,40,27,0,25,75,0,109,13,19,18,43,100,14,0,51,0,19,598
0,64,52,33,37,0,27,75,3,117,6,16,49,42,97,13,0,64,0,42,675
0,72,69,47,39,0,21,94,3,189,13,31,26,55,153,16,0,88,0,46,875
0,52,52,34,35,0,19,64,0,98,5,14,23,26,44,10,0,58,0,28,532
0,33,42,23,21,0,16,43,0,84,0,9,20,19,40,7,0,33,0,17,378
0,51,47,47,40,0,21,74,6,117,8,14,20,47,89,18,0,59,2,31,651
0,49,61,52,31,0,23,82,0,132,9,21,58,30,121,18,0,95,10,35,789
0,61,66,31,37,0,19,95,0,141,4,8,50,30,154,18,3,69,0,29,738
0,68,51,61,40,0,26,79,2,126,4,25,43,26,114,24,2,81,1,50,741
0,56,65,46,60,0,22,100,8,144,12,19,70,75,161,23,0,121,1,70,963
0,86,90,63,54,0,25,102,1,169,5,25,41,39,132,9,0,100,1,44,896
0,50,71,30,40,0,28,120,3,146,7,24,39,46,130,19,0,91,9,36,833
0,30,42,18,22,0,14,65,0,100,5,17,38,38,72,16,6,67,0,18,519
0,59,91,46,41,0,20,75,2,154,15,17,26,35,81,21,0,69,0,35,745
0,99,116,83,88,0,42,161,5,220,2,61,109,32,175,29,0,175,0,74,1356
0,41,31,35,40,0,23,53,2,68,3,15,29,54,74,12,0,36,0,22,504
0,75,62,46,39,0,33,91,1,127,9,34,37,40,91,13,1,73,0,30,730
0,75,61,44,46,0,40,84,1,151,12,26,47,32,123,22,3,75,0,43,783
0,51,59,50,44,0,34,85,2,124,5,17,66,27,95,12,3,81,0,43,715
0,76,88,44,63,0,23,103,6,214,9,41,61,68,182,22,1,118,0,59,1057
0,88,106,94,98,0,38,160,0,248,13,50,123,64,211,37,0,176,3,73,1439
0,37,46,14,10,0,9,31,0,72,5,5,7,27,44,0,0,33,0,13,337
0,65,81,47,45,0,34,111,1,155,5,30,37,27,82,18,0,92,0,27,809
0,48,39,14,26,0,15,65,3,103,4,17,36,16,56,13,0,52,0,24,494
0,72,75,49,42,0,28,71,1,153,6,30,44,58,159,22,0,101,0,31,839
0,38,45,28,31,0,13,64,1,92,5,19,38,18,67,12,0,52,1,26,501
0,22,28,20,15,0,7,36,0,61,4,12,16,11,37,3,0,47,0,18,305
0,77,87,89,76,0,25,142,3,221,5,47,64,42,178,14,0,135,0,66,1158
0,55,48,36,32,0,12,75,3,104,5,17,29,5,83,13,0,54,1,25,562
0,48,60,39,34,0,16,81,1,122,10,20,25,33,79,11,1,71,0,34,631
0,74,76,57,73,0,37,121,3,192,12,38,60,55,121,13,0,105,0,58,987
0,57,84,34,53,0,21,108,0,136,8,27,68,46,73,9,0,97,0,49,810
0,94,92,77,40,0,35,137,1,200,3,31,30,62,114,20,0,114,0,28,1004
0,61,70,43,46,0,17,102,0,133,6,39,30,79,105,12,0,72,0,27,752
0,77,72,63,54,0,24,96,7,154,11,32,42,45,112,19,0,92,0,38,859
0,24,20,19,19,0,10,30,1,42,6,12,29,20,48,6,1,36,0,18,312
0,93,78,55,71,0,36,123,0,185,3,30,60,35,160,19,0,98,4,58,1019
0,38,52,32,35,0,16,66,3,99,3,17,37,20,59,11,0,62,0,25,538
0,75,91,55,32,0,25,92,6,179,5,21,34,45,148,15,1,70,0,41,846
0,24,18,12,18,0,6,34,0,48,1,8,16,13,29,4,0,24,0,9,230
0,138,130,97,72,0,45,187,3,297,13,49,79,71,185,41,1,161,1,52,1497
0,36,38,48,26,0,17,50,0,65,5,14,19,38,83,12,0,52,2,26,496
0,78,92,42,39,0,20,112,2,181,20,22,37,50,138,26,0,89,1,38,907
0,43,33,25,37,0,14,52,0,87,2,11,39,16,75,9,0,47,0,24,477
0,47,48,26,42,0,20,74,2,108,15,23,47,34,82,21,1,82,1,31,653
0,51,51,49,45,0,25,73,1,133,5,18,36,48,102,18,0,61,1,31,688
0,8,20,7,8,0,5,20,3,36,5,6,2,11,29,2,0,17,0,11,171
0,46,35,42,31,0,19,58,0,94,6,23,28,19,67,11,0,55,0,25,507
0,37,43,28,19,0,15,54,1,95,6,17,26,42,84,10,0,56,0,28,510
0,35,51,32,34,0,21,77,2,108,7,21,38,24,93,11,0,80,0,34,615
0,62,63,25,27,0,27,62,1,115,8,17,15,32,101,4,0,57,0,21,567
0,36,31,17,17,0,16,33,0,90,5,14,17,26,47,7,0,48,0,14,394
0,40,45,47,43,0,21,69,2,82,6,12,57,11,100,15,0,77,0,33,609
0,37,56,26,39,0,15,76,1,108,2,20,44,16,68,15,0,46,0,24,545
0,42,48,29,40,0,21,73,0,111,9,25,28,25,63,14,0,60,0,32,574
0,94,90,43,64,0,14,122,1,204,4,32,63,35,123,32,1,119,0,67,995
0,45,48,23,18,0,16,58,0,109,4,11,14,39,60,13,1,47,0,17,492
0,64,64,78,48,0,32,89,2,144,13,33,40,69,160,18,0,106,0,23,921
0,34,42,36,31,0,11,44,0,76,3,19,24,39,81,8,0,46,0,25,448
0,58,66,52,48,0,28,98,0,145,10,27,55,31,120,16,2,104,0,34,819
0,79,85,81,72,0,40,94,2,158,12,26,73,40,118,20,0,124,1,59,1010
0,42,51,50,39,0,20,67,0,84,7,16,38,23,89,17,0,53,0,21,587
0,53,42,45,35,0,15,55,2,80,9,15,30,35,99,8,1,59,1,24,563
0,28,39,8,14,0,12,42,0,75,5,16,7,35,53,8,0,45,2,16,378
0,96,86,63,68,0,31,117,5,191,21,29,58,95,199,21,2,88,6,69,1097
0,25,35,26,29,0,18,50,2,74,1,20,33,23,60,11,0,65,0,37,455
0,61,71,47,36,0,25,112,0,161,9,41,32,48,97,14,0,81,0,24,790
0,94,79,79,67,0,40,113,4,172,6,33,65,63,194,17,0,106,1,40,1081
0,32,48,45,37,0,28,82,1,94,3,23,42,11,29,16,0,61,0,17,537
0,45,57,49,35,0,18,85,0,115,3,13,36,11,79,13,0,67,0,32,606
0,2,1,1,2,0,1,2,0,2,0,2,2,0,1,0,0,2,0,1,17
0,130,211,140,111,0,57,239,4,404,29,62,119,128,323,39,2,214,0,103,2133
0,37,28,17,9,0,10,33,0,60,0,10,5,20,30,2,0,29,0,11,284
0,32,25,35,18,0,18,41,0,70,6,10,24,18,55,11,0,44,0,19,387
0,26,52,39,24,0,19,58,6,84,11,17,40,43,99,8,0,48,1,28,547
0,83,108,73,71,0,53,115,0,183,25,33,59,51,113,26,0,95,0,41,1072
0,90,94,81,59,0,37,136,3,169,12,17,57,61,179,31,0,100,0,45,1102
0,93,115,78,59,0,36,136,0,191,13,37,51,65,187,18,1,121,0,39,1147
0,77,114,68,62,0,44,148,4,240,10,27,80,51,207,17,1,139,1,57,1198
0,26,26,22,29,0,17,38,0,45,1,13,27,32,54,11,1,29,0,15,348
0,31,28,15,10,0,8,34,2,61,3,10,9,21,55,7,0,41,0,15,313
0,99,89,51,48,0,34,125,2,206,4,20,46,50,167,20,0,109,1,48,1021
0,44,56,27,29,0,12,74,0,106,2,11,26,26,72,19,0,47,0,29,539
0,68,88,55,32,0,23,113,0,164,1,27,39,16,108,20,0,115,0,32,834
0,54,49,42,35,0,16,69,1,107,8,24,32,34,72,7,0,69,0,31,603
0,27,39,36,24,0,14,55,0,62,6,17,20,15,31,11,0,41,0,17,392
0,36,53,20,30,0,20,62,0,112,4,22,15,79,86,21,0,58,0,26,594
0,50,65,45,42,0,16,106,0,138,8,30,33,20,107,11,0,75,0,38,721
0,55,55,42,44,0,13,77,0,106,8,29,45,30,85,16,0,69,1,32,638
0,68,65,55,40,0,28,96,0,129,6,30,37,44,79,19,1,80,0,27,748
0,87,79,41,32,0,30,85,2,180,9,23,41,59,187,19,0,94,1,42,886
0,40,51,29,33,0,17,72,3,111,8,17,34,30,75,22,1,65,0,28,594
0,62,95,70,47,0,31,110,1,163,4,33,47,41,133,31,0,113,0,22,946
0,27,35,13,12,0,13,44,1,69,2,9,15,12,38,8,0,31,0,13,326
0,67,56,35,32,0,17,88,0,145,7,18,24,59,87,12,0,54,0,26,677
0,81,67,35,27,0,23,93,0,155,6,19,30,43,102,14,0,83,0,33,755
0,44,39,26,22,0,12,54,0,104,5,6,17,7,54,8,0,48,0,17,437
0,56,96,43,57,0,22,92,2,146,16,32,90,39,121,20,0,105,0,45,896
0,104,153,59,75,0,55,214,1,322,8,42,91,82,205,48,3,177,3,48,1586
0,51,69,40,41,0,15,91,2,136,7,23,43,32,100,14,0,73,0,27,715
0,56,72,37,35,0,26,80,7,109,6,18,54,13,114,8,0,74,0,40,678
0,94,131,79,68,0,37,185,2,264,11,41,64,61,152,31,1,155,0,53,1335
0,53,50,52,46,0,23,87,1,118,5,18,47,17,95,16,2,63,0,29,664
0,54,64,50,44,0,23,81,0,115,15,19,32,28,102,20,2,68,0,21,692
0,91,64,60,66,0,49,110,3,133,21,37,60,47,83,24,1,110,0,40,930
0,13,27,20,14,0,3,27,0,45,2,9,10,26,40,8,0,33,0,17,264
0,32,31,22,19,0,22,42,0,92,4,9,20,21,74,9,0,42,1,28,420
0,78,103,65,43,0,20,152,4,215,10,25,54,39,134,30,1,118,0,52,1033
0,72,58,55,36,0,20,92,0,134,9,23,28,45,84,14,1,85,0,27,718
0,30,27,13,13,0,13,37,0,72,1,15,10,24,52,4,0,31,0,17,312
0,50,73,11,18,0,25,70,0,155,4,7,15,33,52,9,0,58,0,17,568
0,47,57,48,31,0,20,65,0,107,6,14,29,51,137,13,1,62,0,18,643
0,17,16,8,3,0,5,23,1,35,1,3,7,10,35,4,1,25,0,8,183
0,49,52,37,39,0,21,65,1,103,10,21,41,25,79,20,1,73,0,30,616
0,36,40,29,23,0,22,61,0,84,2,16,33,25,70,7,0,49,0,24,478
0,61,79,57,46,0,22,106,0,153,4,27,44,51,80,14,0,108,1,34,845
0,95,76,82,61,0,29,140,4,230,7,34,58,58,178,15,4,140,4,58,1135
0,44,32,18,25,0,12,38,0,67,8,9,23,14,63,7,0,36,0,28,391
0,63,75,43,37,0,15,92,0,139,4,26,35,31,90,14,0,74,1,30,702
0,72,61,53,54,0,21,110,2,139,7,19,55,41,124,21,1,86,0,34,832
0,69,65,67,46,0,25,87,1,130,8,23,58,55,117,32,0,95,0,35,828
0,62,71,33,30,0,21,85,0,142,3,19,27,38,80,13,0,65,0,21,665
0,36,33,18,14,0,8,37,0,72,4,11,17,27,68,7,0,29,0,12,353
0,56,60,29,35,0,14,83,0,105,4,24,27,78,95,15,0,70,0,27,653
0,33,26,24,22,0,14,39,0,59,3,15,24,29,60,10,1,40,0,19,384
0,36,58,20,16,0,12,56,0,96,5,10,24,27,78,11,1,41,0,19,456
0,45,52,34,31,0,22,77,1,103,8,18,42,28,88,18,3,74,0,25,615
0,20,41,27,23,0,9,43,0,70,6,5,19,20,48,12,1,32,1,20,361
0,30,40,21,24,0,10,57,2,76,3,11,35,11,87,5,0,51,1,31,446
0,49,72,44,40,0,23,77,0,125,4,24,45,33,86,8,0,77,0,25,675
0,78,77,59,25,0,26,131,4,196,7,29,31,61,170,16,1,95,5,25,971
0,59,44,40,41,0,16,81,0,129,5,14,24,17,71,15,0,70,0,36,585
0,58,48,37,20,0,25,69,1,121,4,18,17,30,84,9,0,62,0,16,576
0,25,35,17,13,0,10,39,1,76,9,4,19,27,57,9,3,30,0,15,358
0,50,58,38,39,0,9,91,0,97,3,20,31,29,60,24,0,59,0,32,594
0,71,73,48,69,0,29,107,1,131,4,20,66,44,114,19,0,98,0,38,871
0,34,30,13,12,0,7,34,1,65,11,5,6,32,57,8,0,33,1,11,328
0,83,93,54,74,0,32,152,4,229,11,26,50,79,247,14,3,111,6,71,1153
0,48,64,60,33,0,25,86,2,136,6,22,45,25,134,16,3,96,0,34,777
0,63,77,44,32,0,23,92,2,138,3,21,27,92,113,14,0,80,0,36,728
0,57,65,56,42,0,20,89,1,127,11,24,53,38,85,19,3,95,0,24,734
0,58,62,32,20,0,22,85,2,147,10,18,17,56,112,14,0,66,4,28,677
0,39,34,27,35,0,16,65,1,81,2,15,14,34,69,9,1,45,0,17,476
0,71,70,32,51,0,22,101,0,146,1,26,42,60,119,15,0,75,0,34,793
0,42,72,38,30,0,15,95,0,141,12,19,36,36,87,14,0,66,3,22,676
0,56,65,32,38,0,26,82,0,126,6,27,30,59,87,21,1,68,0,26,686
0,17,23,16,12,0,7,28,1,45,4,8,9,15,46,3,0,24,1,12,242
0,75,66,34,27,0,22,97,0,152,6,18,30,32,105,10,0,73,0,34,715
0,41,35,6,12,0,11,49,0,75,6,5,4,32,61,5,1,35,0,13,366
0,45,72,51,38,0,20,109,2,156,3,14,54,13,99,16,0,83,0,39,739
0,66,79,44,31,0,32,95,3,164,14,25,37,29,108,20,1,73,0,32,800
0,62,69,46,45,0,21,104,2,130,8,16,29,39,115,18,1,84,0,38,761
0,84,81,48,54,0,30,120,1,197,5,31,29,44,124,18,0,100,0,35,921
0,52,51,31,32,0,30,86,0,115,2,17,25,36,103,13,1,70,1,23,629
0,51,40,31,23,0,16,56,2,88,5,14,44,29,103,10,0,54,0,37,529
0,62,71,42,48,0,18,92,3,152,9,32,51,62,131,19,0,95,6,55,850
0,73,73,52,58,0,20,97,0,129,11,35,36,52,123,13,2,64,0,30,795
0,90,144,93,83,0,41,178,4,249,23,57,82,80,259,25,2,172,3,52,1508
0,45,39,42,34,0,30,64,0,83,6,18,38,24,80,12,1,59,1,22,562
0,93,66,42,55,0,48,120,3,156,4,39,54,27,123,24,0,87,0,45,914
0,47,52,43,32,0,16,83,3,103,3,13,29,26,88,8,0,59,1,27,578
0,75,81,51,55,0,33,105,1,166,10,20,39,28,113,22,3,84,0,32,854
0,54,70,47,47,0,31,88,2,128,6,21,34,47,80,17,0,70,0,27,704
0,55,45,26,27,0,16,73,1,154,6,14,31,21,93,14,0,61,0,32,616
0,38,33,23,29,0,12,62,0,94,2,21,24,57,95,6,1,50,0,23,528
0,73,96,52,42,0,26,125,1,174,11,27,46,66,99,24,0,91,3,26,907
0,70,67,39,38,0,22,83,2,138,10,27,49,44,114,14,2,99,0,32,788
0,34,55,27,32,0,13,85,0,95,0,13,24,9,47,15,0,50,0,21,490
